Object,Filter,MJD,Flux,Error,Tel,Obs
MR_2251-178,u,59032.130976, 1.159, 0.001,1m010,cpt
MR_2251-178,u,59032.130976, 1.160, 0.001,1m010,cpt
MR_2251-178,u,59032.138223, 1.151, 0.001,1m010,cpt
MR_2251-178,u,59032.138223, 1.166, 0.001,1m010,cpt
MR_2251-178,u,59037.601594, 1.233, 0.006,1m011,coj
MR_2251-178,u,59037.601594, 1.242, 0.006,1m011,coj
MR_2251-178,u,59037.608852, 1.267, 0.007,1m011,coj
MR_2251-178,u,59037.608852, 1.266, 0.007,1m011,coj
MR_2251-178,u,59042.749413, 1.072, 0.001,1m011,coj
MR_2251-178,u,59042.749413, 1.075, 0.001,1m011,coj
MR_2251-178,u,59044.802428, 1.068, 0.001,1m003,coj
MR_2251-178,u,59044.802428, 1.065, 0.001,1m003,coj
MR_2251-178,u,59044.809684, 1.088, 0.001,1m003,coj
MR_2251-178,u,59044.809684, 1.078, 0.001,1m003,coj
MR_2251-178,u,59049.779500, 1.175, 0.008,1m003,coj
MR_2251-178,u,59049.779500, 1.173, 0.008,1m003,coj
MR_2251-178,u,59049.786754, 1.163, 0.007,1m003,coj
MR_2251-178,u,59049.786754, 1.164, 0.007,1m003,coj
MR_2251-178,u,59054.029729, 1.131, 0.002,1m010,cpt
MR_2251-178,u,59054.029729, 1.117, 0.002,1m010,cpt
MR_2251-178,u,59054.036977, 1.110, 0.002,1m010,cpt
MR_2251-178,u,59054.036977, 1.121, 0.002,1m010,cpt
MR_2251-178,u,59059.145346, 1.126, 0.002,1m010,cpt
MR_2251-178,u,59059.145346, 1.138, 0.002,1m010,cpt
MR_2251-178,u,59059.152605, 1.123, 0.002,1m010,cpt
MR_2251-178,u,59059.152605, 1.114, 0.002,1m010,cpt
MR_2251-178,u,59063.599016, 1.165, 0.004,1m003,coj
MR_2251-178,u,59063.599016, 1.170, 0.004,1m003,coj
MR_2251-178,u,59063.606270, 1.103, 0.004,1m003,coj
MR_2251-178,u,59063.606270, 1.130, 0.004,1m003,coj
MR_2251-178,u,59068.881512, 1.214, 0.003,1m010,cpt
MR_2251-178,u,59068.881512, 1.215, 0.003,1m010,cpt
MR_2251-178,u,59068.888787, 1.296, 0.003,1m010,cpt
MR_2251-178,u,59068.888787, 1.354, 0.003,1m010,cpt
MR_2251-178,u,59073.415242, 1.063, 0.004,1m008,elp
MR_2251-178,u,59073.415242, 1.100, 0.004,1m008,elp
MR_2251-178,u,59073.422494, 1.082, 0.004,1m008,elp
MR_2251-178,u,59073.422494, 1.057, 0.004,1m008,elp
MR_2251-178,u,59078.109608, 1.055, 0.004,1m013,cpt
MR_2251-178,u,59078.109608, 1.058, 0.004,1m013,cpt
MR_2251-178,u,59078.116850, 1.044, 0.004,1m013,cpt
MR_2251-178,u,59078.116850, 1.055, 0.004,1m013,cpt
MR_2251-178,u,59083.003489, 1.053, 0.002,1m013,cpt
MR_2251-178,u,59083.003489, 1.036, 0.002,1m013,cpt
MR_2251-178,u,59083.010775, 1.049, 0.002,1m013,cpt
MR_2251-178,u,59083.010775, 1.059, 0.002,1m013,cpt
MR_2251-178,u,59087.292253, 1.015, 0.003,1m008,elp
MR_2251-178,u,59087.292253, 1.025, 0.003,1m008,elp
MR_2251-178,u,59087.299504, 1.022, 0.003,1m008,elp
MR_2251-178,u,59087.299504, 1.013, 0.003,1m008,elp
MR_2251-178,u,59092.069310, 1.044, 0.004,1m012,cpt
MR_2251-178,u,59092.069310, 1.045, 0.004,1m012,cpt
MR_2251-178,u,59092.076566, 1.039, 0.004,1m012,cpt
MR_2251-178,u,59092.076566, 1.050, 0.004,1m012,cpt
MR_2251-178,u,59096.090974, 1.124, 0.007,1m013,cpt
MR_2251-178,u,59096.090974, 1.112, 0.007,1m013,cpt
MR_2251-178,u,59096.098230, 1.119, 0.008,1m013,cpt
MR_2251-178,u,59096.098230, 1.123, 0.008,1m013,cpt
MR_2251-178,u,59096.273248, 1.094, 0.005,1m006,elp
MR_2251-178,u,59096.273248, 1.085, 0.005,1m006,elp
MR_2251-178,u,59096.280499, 1.093, 0.005,1m006,elp
MR_2251-178,u,59096.280499, 1.088, 0.005,1m006,elp
MR_2251-178,u,59106.716899, 1.007, 0.003,1m003,coj
MR_2251-178,u,59106.716899, 0.998, 0.002,1m003,coj
MR_2251-178,u,59106.724178, 0.990, 0.003,1m003,coj
MR_2251-178,u,59106.724178, 0.993, 0.003,1m003,coj
MR_2251-178,u,59107.060913, 0.996, 0.003,1m013,cpt
MR_2251-178,u,59107.060913, 0.993, 0.003,1m013,cpt
MR_2251-178,u,59107.068146, 0.984, 0.003,1m013,cpt
MR_2251-178,u,59107.068146, 0.987, 0.003,1m013,cpt
MR_2251-178,u,59107.700274, 1.004, 0.002,1m003,coj
MR_2251-178,u,59107.700274, 0.999, 0.002,1m003,coj
